rating,text,helpful_vote,verified_purchase,timestamp,user_id,asin,review_length
4.0,"This is a value projector, that being said I am giving it 4 stars primarily for it’s value, as it’s functionality and picture quality do not compare to models that are priced higher. Picture quality is decent in the dark. I use a laptop with HDMI to play movies and Netflix on it. I have also connected a chromecast ultra to it. We use it in the backyard to play movies at night. Like I said it needs to be dark so twilight will be a struggle. I think this is a good product if you are looking for something small and cheap to play movies and impress younger kids. This will not impress adults that are expecting a theatrical experience for a couple hundred dollars.",1,False,1556592737155,AFJBKPK5W56XWSNPQU2WW66ISWYQ,B07GKZCP1Z,126
5.0,OMOTON Screen Protector does the job well indeed. Installed  easily with the help of the supplied instructions and cleaning accessories.<br />Perfect fit and very reasonably priced - great deal,0,False,1478840902000,AHHPKZ3F4WPTUYZQYYAGB6UQNT4A,B01BV1RY5U,29
5.0,"Lately I have had frustration with products that claim to be bamboo but are in fact veneer or laminate over particle board. This product is all bamboo, so it is what it clams to be. It's neat and attractive and happens to match my hardwood floor. A great improvement over the messy cords. Only gripe is that the lid is loose fitting, so if I could knock off half a star for that I would, but certainly it's not a whole star deduction. Very pleased with it overall.",3,True,1529167523129,AG67IE26M7OA4QMHHVSXIQU4WU7A,B0785FW77Z,88
5.0,Seems to be working as it should. Amazon recommended,0,True,1609874023596,AGJBTTASVPXXBPQ7HYK5KIOESNYQ,B01KAVJ4PA,9
5.0,Worked with my Samsung smart tv. Others would only play in black and white.,1,True,1500246232785,AEINWALDRYT4NTF3M5NC2WZ5YQNA,B01AQB0Y1C,14
5.0,"Nothing wrong with this mouse, does the job. I use with new laptop.",0,True,1658854012597,AFMVHT5HDBLRNEWMQXA4KUXODOVA,B088NDL2G1,13
3.0,They only last for a couple of weeks then it stops working. All five “chargers”!!!!!,0,True,1638998293008,AFUL3FLW6IDSNCAJQPCOPMBCIIPA,B08VFRQ2DY,15
5.0,I find having two batteries very helpful.  The are easy to recharge and light enough to keep handy in my camera bag.,0,True,1557077285230,AECU5G5N7OSZDTE2ETVULZINKHHA,B00IVFUJBG,22
5.0,Works great!,0,True,1471800198000,AGBC6QL4KQQPGU3B5TN6BPZNVT6Q,B00316263Y,2
5.0,I liked it !! and it's very comfrotable to hold !!,0,False,1613541116311,AFJ4YAHXPKZQSEJTCCJ5Z4KPYZKA,B08KXRHRGR,11
1.0,"I''ve really had it with apple stuff that is too complicated to use.  Since there is no instruction book it needs to be intuitive.  Got the band on with the shorter piece - I have a VERY small wrist, but the watchband is so thick that it won't wrap around my wrist so that I can put it on.  The watch face is bigger than the top part of my wrist.  If the band were thinner or more pliable I might be able to put it on.  Interestingly, the WATCH keeps telling me when it fails to pair that ""the watch must not be on""  If it''s giving me that message it''s obviously ""ON"".  I'll update if I ever get it on my wrist and paired with my Iphone 8plus/  Oh and you get a USB cord but no way to plug it in to anything ie., no power box.  For what this cost they surely could include that part.  FRUSTRATING FROM THE MOMENT YOU GET IT PLUS IT'S REALLY  UGLY WITH THAT BIG HEAVY BAND.  My Iphone software is up to date but it still won't pair with my phone.  If the phone isn't ""on"" please direct me to the on button.",5,True,1606081530766,AEDTQ5BNJM7GIYAO7C7QPTXSEZKA,B08J5QC43Q,203
3.0,I bought this because I needed a 6 Foot cord. The cord is only 5 foot. The length of the entire product is 6 foot. Otherwise the power strip works as described.,0,True,1540399266709,AHVAO2EISHSFCRKZWM4HWNZ2QMFQ,B000HPV3RW,32
5.0,"In my experience, Sabrent products are reliable, long-lasting, and reasonably priced.  They always do what they're advertised to do, and this SABRENT QUICK CHARGE 3.0 54W 5-PORT FAMILY-SIZED DESKTOP USB RAPID CHARGER (Black; AX-QCS5) is no exception.<br /><br />The charger’s USB ports are quite snug, but this means the cables won’t be easily loosened or dislodged.  The charger ports work with most USB cables and devices; the ports are for charging only, not data transfer.<br /><br />CAVEAT FOR PURCHASERS:  The charger has only ONE port with Qualcomm Quick Charge 3.0 capability--it's identified by the green plastic port interior and the Qualcomm Quick Charge logo (a circle with a lightning bolt) that is printed beneath the port opening.<br /><br />The advertised quick charging speeds of up to 4 times faster than standard chargers are available only to devices with built-in Qualcomm Quick Charge 3.0 capability.  (For more information, or to find lists of compatible devices, try Googling “Qualcomm Quick Charge FAQs”.)",1,False,1492391174000,AEYGPUCRKH7G4VM22FM3VAKSQ23Q,B01NCUV35P,160
5.0,Case was roomer then I thought; excepted full sized ATX board with ease. Like the handle and front panel design. Excellent mid tower case.,0,True,1286829174000,AEKWVNWT5NS5J7L45LLNLGD3MFWA,B00243HHNY,24
5.0,I love Amazon Fire stick everything in one place there's so much to watch I don't know what to watch next. The only downside is I don't know how to turn off the fire stick.,0,True,1516915842878,AE5NJ373RYNSSYEROFQ6YMKJ6XWA,B00ZV9RDKK,35
5.0,It's just what I wanted,0,True,1510847738950,AHTCVPZVFUDF7H7324LHIGNUBMRA,B00Z81U3YY,5
4.0,Just as advertised,0,True,1533769347894,AHZQIU5KSJ4ND44XWVC54JANOB3Q,B0786YV5W8,3
