rating,sentiment_score,review_length,verified_purchase,helpfulness_ratio,order_value
4,0.0,170,1,0,29.99
4,0.0,20,1,0,118.7
5,0.0,0,1,0,159.9
5,0.0,105,1,0,45.0
5,0.0,0,1,0,19.9
4,0.0,0,1,0,147.9
2,0.0,36,1,0,49.9
5,0.0,0,1,0,59.99
1,0.0,0,1,0,19.9
5,0.0,0,1,0,149.99
1,0.0,26,1,0,99.0
1,0.0,26,1,0,99.0
4,0.0,0,1,0,98.0
5,0.0,0,1,0,31.9
5,0.0,0,1,0,19.9
4,0.0,17,1,0,38.25
5,0.0,56,1,0,132.4
5,0.0,0,1,0,27.99
5,0.0,0,1,0,17.9
4,0.0,0,1,0,76.0
2,0.0,148,1,0,109.9
5,0.0,0,1,0,79.99
3,0.0,0,1,0,9.5
4,0.0,0,1,0,129.99
5,0.0,49,1,0,89.9
2,0.0,76,1,0,109.9
1,0.0,200,1,0,90.9
1,0.0,200,1,0,39.5
5,0.3333333333333333,61,1,0,47.9
4,0.0,0,1,0,178.99
4,0.0,0,1,0,30.1
2,-0.8,193,1,0,279.0
1,0.0,168,1,0,186.9
4,0.0,0,1,0,49.0
5,0.5,48,1,0,84.9
5,0.0,0,1,0,179.0
5,0.0,101,1,0,78.0
4,0.0,16,1,0,39.9
5,0.0,0,1,0,27.9
5,0.375,40,1,0,445.0
3,0.0,0,1,0,36.9
5,0.0,73,1,0,119.99
1,0.0,112,1,0,339.0
5,0.0,0,1,0,69.9
4,0.0,0,1,0,99.0
1,0.0,0,1,0,14.49
1,0.0,42,1,0,139.0
4,0.0,0,1,0,36.9
5,0.0,0,1,0,69.9
5,0.0,72,1,0,33.9
5,0.0,0,1,0,115.0
5,0.0,0,1,0,39.47
5,0.0,0,1,0,53.44
1,0.0,200,1,0,60.0
1,0.0,200,1,0,60.0
4,0.0,141,1,0,369.0
5,0.0,18,1,0,38.4
5,0.0,40,1,0,119.9
5,0.0,0,1,0,29.99
1,0.0,122,1,0,22.99
1,0.0,122,1,0,22.99
1,0.0,10,1,0,84.9
5,0.0,0,1,0,113.0
4,0.0,0,1,0,79.9
5,0.0,0,1,0,39.9
5,0.0,0,1,0,299.0
4,0.0,0,1,0,27.9
4,0.0,167,1,0,119.0
4,0.0,167,1,0,199.0
3,0.0,74,1,0,329.9
3,0.0,74,1,0,329.9
4,0.0,72,1,0,24.89
5,0.0,0,1,0,84.9
5,0.0,0,1,0,84.9
5,0.0,0,1,0,84.9
5,0.0,0,1,0,84.9
5,0.0,0,1,0,42.99
3,0.0,63,1,0,27.9
5,0.0,0,1,0,50.0
5,0.0,0,1,0,190.0
4,0.0,62,1,0,42.9
5,0.0,14,1,0,69.9
1,0.0,0,1,0,38.0
1,0.0,0,1,0,38.0
1,0.0,0,1,0,38.0
1,0.0,0,1,0,38.0
1,0.0,0,1,0,38.0
5,0.0,0,1,0,56.99
5,0.0,0,1,0,56.99
5,0.0,0,1,0,24.99
1,0.0,36,1,0,219.0
4,0.0,0,1,0,93.0
4,0.0,0,1,0,93.0
3,0.0,14,1,0,19.99
5,0.0,0,1,0,45.0
5,0.0,0,1,0,58.2
3,0.0,0,1,0,110.99
4,0.0,0,1,0,38.5
2,0.0,0,1,0,179.99
5,0.0,0,1,0,544.0
5,0.0,0,1,0,14.82
4,0.0,0,1,0,394.9
5,0.0,0,1,0,49.9
5,0.0,0,1,0,89.18
4,0.0,90,1,0,29.99
5,0.0,0,1,0,58.99
1,0.0,66,1,0,98.44
4,0.0,0,1,0,219.9
5,0.0,94,1,0,759.0
5,0.0,0,1,0,65.9
5,0.0,29,1,0,10.9
1,0.0,0,1,0,83.9
5,0.0,0,1,0,17.9
5,0.0,0,1,0,99.2
5,0.0,93,1,0,160.0
5,0.0,0,1,0,29.9
5,0.0,69,1,0,13.99
3,0.0,137,1,0,35.0
4,0.0,0,1,0,535.9
4,0.0,0,1,0,69.9
4,0.0,0,1,0,589.9
5,0.0,0,1,0,27.3
2,0.0,0,1,0,235.99
1,0.0,64,1,0,19.9
1,0.0,62,1,0,25.99
5,0.0,0,1,0,18.5
5,0.0,22,1,0,49.9
5,0.0,22,1,0,49.9
5,0.0,11,1,0,84.99
